
# Note: Indication of list of entries considered for harvesting information.
= = = = = = = = = = = = = = = = = = = =
# Process started at date-UTC: 2023-06-13T12:14:51.339Z
# Note: Quality check results are: passed|failed
 ./corpus/processed/wikidata-Q33819769.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q94479661.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q49027734.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q35677524.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q56767767.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q33482830.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
# Process complete at date-UTC: 2023-06-13T12:15:09.641Z
# Note: Indication of list of entries considered for harvesting information.
= = = = = = = = = = = = = = = = = = = =
# Process started at date-UTC: 2023-06-13T12:17:20.647Z
# Note: Quality check results are: passed|failed
 ./corpus/processed/wikidata-Q33819769.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q94479661.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q49027734.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q35677524.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q56767767.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
 ./corpus/processed/wikidata-Q33482830.xml: Quality check all rows: row_1: 1; row_2: 1; row_end: 1
# Process complete at date-UTC: 2023-06-13T12:17:38.364Z
